"PassengerId","Survived.Died","Survived.Survived"
892,0.839851024208566,0.160148975791434
893,0.916666666666667,0.0833333333333333
894,0.839851024208566,0.160148975791434
895,0.839851024208566,0.160148975791434
896,0.375,0.625
897,0.839851024208566,0.160148975791434
898,0.375,0.625
899,0.839851024208566,0.160148975791434
900,0.666666666666667,0.333333333333333
901,0.839851024208566,0.160148975791434
902,0.839851024208566,0.160148975791434
903,0.839851024208566,0.160148975791434
904,0.0529411764705882,0.947058823529412
905,0.839851024208566,0.160148975791434
906,0.0529411764705882,0.947058823529412
907,0.0529411764705882,0.947058823529412
908,0.839851024208566,0.160148975791434
909,0.839851024208566,0.160148975791434
910,0.375,0.625
911,0.916666666666667,0.0833333333333333
912,0.839851024208566,0.160148975791434
913,0.607142857142857,0.392857142857143
914,0.0529411764705882,0.947058823529412
915,0.839851024208566,0.160148975791434
916,0.0529411764705882,0.947058823529412
917,0.839851024208566,0.160148975791434
918,0.0529411764705882,0.947058823529412
919,0.839851024208566,0.160148975791434
920,0.839851024208566,0.160148975791434
921,0.839851024208566,0.160148975791434
922,0.839851024208566,0.160148975791434
923,0.839851024208566,0.160148975791434
924,0.375,0.625
925,0.375,0.625
926,0.839851024208566,0.160148975791434
927,0.839851024208566,0.160148975791434
928,0.375,0.625
929,0.666666666666667,0.333333333333333
930,0.839851024208566,0.160148975791434
931,0.839851024208566,0.160148975791434
932,0.839851024208566,0.160148975791434
933,0.839851024208566,0.160148975791434
934,0.839851024208566,0.160148975791434
935,0.0529411764705882,0.947058823529412
936,0.0529411764705882,0.947058823529412
937,0.839851024208566,0.160148975791434
938,0.839851024208566,0.160148975791434
939,0.839851024208566,0.160148975791434
940,0.0529411764705882,0.947058823529412
941,0.375,0.625
942,0.839851024208566,0.160148975791434
943,0.839851024208566,0.160148975791434
944,0.0529411764705882,0.947058823529412
945,0.0529411764705882,0.947058823529412
946,0.839851024208566,0.160148975791434
947,0.607142857142857,0.392857142857143
948,0.839851024208566,0.160148975791434
949,0.839851024208566,0.160148975791434
950,0.839851024208566,0.160148975791434
951,0.0529411764705882,0.947058823529412
952,0.839851024208566,0.160148975791434
953,0.839851024208566,0.160148975791434
954,0.839851024208566,0.160148975791434
955,0.375,0.625
956,0.839851024208566,0.160148975791434
957,0.0529411764705882,0.947058823529412
958,0.666666666666667,0.333333333333333
959,0.839851024208566,0.160148975791434
960,0.839851024208566,0.160148975791434
961,0.0529411764705882,0.947058823529412
962,0.375,0.625
963,0.839851024208566,0.160148975791434
964,0.375,0.625
965,0.839851024208566,0.160148975791434
966,0.0529411764705882,0.947058823529412
967,0.839851024208566,0.160148975791434
968,0.839851024208566,0.160148975791434
969,0.0529411764705882,0.947058823529412
970,0.839851024208566,0.160148975791434
971,0.375,0.625
972,0.607142857142857,0.392857142857143
973,0.839851024208566,0.160148975791434
974,0.839851024208566,0.160148975791434
975,0.839851024208566,0.160148975791434
976,0.839851024208566,0.160148975791434
977,0.839851024208566,0.160148975791434
978,0.375,0.625
979,0.666666666666667,0.333333333333333
980,0.375,0.625
981,0,1
982,0.375,0.625
983,0.839851024208566,0.160148975791434
984,0.0529411764705882,0.947058823529412
985,0.839851024208566,0.160148975791434
986,0.839851024208566,0.160148975791434
987,0.839851024208566,0.160148975791434
988,0.0529411764705882,0.947058823529412
989,0.839851024208566,0.160148975791434
990,0.666666666666667,0.333333333333333
991,0.839851024208566,0.160148975791434
992,0.0529411764705882,0.947058823529412
993,0.839851024208566,0.160148975791434
994,0.839851024208566,0.160148975791434
995,0.839851024208566,0.160148975791434
996,0.666666666666667,0.333333333333333
997,0.839851024208566,0.160148975791434
998,0.839851024208566,0.160148975791434
999,0.839851024208566,0.160148975791434
1000,0.839851024208566,0.160148975791434
